GeneID	HISAT2.on.data.32..aligned.reads..BAM.	HISAT2.on.data.33..aligned.reads..BAM.	HISAT2.on.data.34..aligned.reads..BAM.	HISAT2.on.data.29..aligned.reads..BAM.	HISAT2.on.data.30..aligned.reads..BAM.	HISAT2.on.data.31..aligned.reads..BAM.
57470	4.57768513950399	5.69460150292022	5.47954475084748	5.47954475084748	4.98736222791005	5.5972963365071
9731	2.8577733967905	5.95940522558927	4.98841473293713	4.98841473293713	4.92393707066775	2.42459708934037
1677	1.62825358209048	3.11465091795213	2.36134823523201	2.36134823523201	3.65766428869768	0.770218796434557
339448	3.32490721623391	5.2432746499218	5.45152342648458	5.45152342648458	6.04065788437323	5.42348492280803
100133612	0.770218796434557	1.92310397923006	0.770218796434557	0.770218796434557	0.770218796434557	1.82259124418941
728716	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
284661	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
55966	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
100616489	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
100616421	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
261734	0.770218796434557	3.75819947889742	3.94836053782033	3.94836053782033	2.84053784351674	2.65182228388367
8514	5.28996980975113	4.30681529701767	2.77715475154689	2.77715475154689	4.28109656328581	4.95473719423295
26038	1.62825358209048	0.770218796434554	3.94836053782033	3.94836053782033	0.770218796434557	0.770218796434557
6146	5.18396108708452	4.08823619929532	3.58549780784661	3.58549780784661	4.78805415442876	4.99672497251804
102724450	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
388591	3.59687036073053	2.1660722787635	1.35826806133725	1.35826806133725	3.3061953570148	4.18509009036656
23463	7.72089371490629	7.17993646214201	7.79061519660229	7.79061519660229	7.23283434872686	7.91129235420552
148645	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	1.39030664871616
390992	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
387509	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	2.5356884298115	0.770218796434557
11332	5.83642439670341	6.37665132387078	5.84527355464078	5.84527355464078	6.91172413717129	6.24577294891121
54626	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
83715	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
100422975	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
8718	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	1.61817470626688	0.770218796434557
57449	0.770218796434557	0.770218796434554	3.4784812879704	3.4784812879704	0.770218796434557	0.770218796434557
79707	6.04762309413304	5.29531447446598	6.5866497763854	6.5866497763854	5.84908062277004	2.8480813473115
80835	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
3104	0.770218796434557	1.92310397923006	4.63680495869393	4.63680495869393	2.1486736546852	2.8480813473115
9903	2.8577733967905	4.66428521508629	5.47954475084748	5.47954475084748	3.4926065534242	4.95473719423295
148479	0.770218796434557	4.62415405883125	2.36134823523201	2.36134823523201	3.09207309638237	3.86065947590353
90326	1.26210655800117	3.68205745224026	2.94733600093521	2.94733600093521	3.65766428869768	3.31438735423442
55735	5.21120243097847	4.8841207785792	5.7333584963168	5.7333584963168	5.54623390692616	4.67337163459074
100505887	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
23261	3.89444633780665	4.25519615385292	3.77830750904984	3.77830750904984	4.0629177143484	3.76671493274378
9341	7.18818989947122	6.85532713712231	7.09222643494824	7.09222643494824	7.13819754549631	6.54360535775718
8863	0.770218796434557	3.60167182269684	3.58549780784661	3.58549780784661	2.5356884298115	3.94885880304357
10911	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
3604	4.77314631898587	2.99387118037747	0.770218796434557	0.770218796434557	4.28109656328581	2.8480813473115
11315	8.41171261126594	8.54367110287086	8.53430420412307	8.53430420412307	8.32010418718972	8.20342870723075
54206	6.90924880338768	6.7933430563755	7.20561699204551	7.20561699204551	6.7008654019818	6.54360535775718
102724539	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
50651	2.37021204640169	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	2.15476948766303
473	1.62825358209048	1.63076125175277	3.23721526118574	3.23721526118574	3.4926065534242	2.8480813473115
102724552	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
2023	12.1252940067517	12.2962363970813	12.1917611715803	12.1917611715803	12.3178887134083	12.1711520103157
102465436	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
100505975	0.770218796434557	0.770218796434554	1.35826806133725	1.35826806133725	0.770218796434557	0.770218796434557
765	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
155184	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
6518	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
80045	0.770218796434557	3.68205745224026	2.36134823523201	2.36134823523201	3.09207309638237	2.42459708934037
407040	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
9563	4.30170987120411	4.25519615385292	3.4784812879704	3.4784812879704	4.63802933445141	4.32350254605093
80176	5.70844420021782	5.97544392180993	4.7330612748267	4.7330612748267	4.78805415442876	4.50901708015286
100506022	0.770218796434557	0.770218796434554	0.770218796434557	0.770218796434557	0.770218796434557	0.770218796434557
84275	1.26210655800117	3.32954549790518	2.94733600093521	2.94733600093521	3.3061953570148	1.82259124418941
199953	3.42137137665912	4.58287456302558	3.23721526118574	3.23721526118574	4.85759481971711	4.03197530187888
5293	0.770218796434557	0.770218796434554	3.23721526118574	3.23721526118574	1.61817470626688	1.82259124418941
